n00001740	juristische Person
n00185778	Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Kaiserschnitt, Abdominalgeburt
n00186251	Zangenabgabe
n00186549	Geburtshilfe
n00186634	Spielstand
n00187056	Bowling-Ergebnis
n00187144	Volltreffer
n00187337	Ziel
n00187499	eigenes Ziel
n00187710	Streik, Zehnerschlag
n00187890	Ersatzteil
n00188007	offener Rahmen, brechen
n00188183	hörbar
n00188341	Fußballergebnis
n00188449	zurück berühren
n00188620	Sicherheit
n00188766	Landung
n00188934	Feldtor
n00189106	Wandlung
n00189257	Punkt nach, Punkt nach Aufsetzen, Extrapunkt
n00189476	Baseball-Ergebnis
n00189565	laufen, zählen
n00189896	verdienter Lauf
n00190040	unverdienter Lauf
n00190180	eingeschlagen laufen, rbi
n00190338	Basketball-Ergebnis
n00190431	Korb, Feldtor
n00190579	Hattrick, Hat-Trick
n00190783	Lösung
n00190931	Russisches Roulette
n00191142	Veränderung
n00191980	Filterung
n00192149	Versickerung
n00192300	Reduktion, Vereinfachung
n00192457	Schematisierung, Schematisierung
n00192613	Wirtschaft, Sparen
n00192910	Kürzung, Kürzung, Verkleinerung
n00193099	Skaleneffekt
n00193225	Unterkunft
n00193406	Anpassung
n00193622	Dunkeladaption
n00193811	Lichtanpassung
n00194005	aufheben
n00194127	Neueinstellung
n00194257	Domestikation
n00194414	Dezimalisierung, Dezimalisierung
n00194645	Metrifizierung, Metrikation
n00194831	Gewöhnung
n00194969	Variation, Varianz
n00195194	Variation
n00195415	drehen
n00195569	Diversifikation, Abwechslung
n00195938	Fluss
n00196084	schalten, schalten, schalten
n00196402	schalteroo
n00196485	Substitution, Austausch, Kommutierung
n00196848	Novation
n00197136	Tonhöhenänderung
n00197229	Rentenversicherung
n00197419	Ersetzung, Ersetzung
n00197610	Verdrängung, Verdrängung
n00197772	ersetzen, ersetzen
n00198118	Abtretung
n00198270	Entwöhnung, Ablaktation
n00198451	Förderung
n00198631	Beförderung
n00198793	Degradierung
n00198919	Investition, Investitur
n00199130	Zustandsänderung
n00199707	Änderung, Modifikation, Anpassung
n00200041	Ablenkung, Fehlleitung
n00200244	Belüftung
n00200379	Modulation
n00200563	Qualifikation
n00200768	Reorganisation
n00201058	Durchgang, Übergang
n00201269	Versteinerung, Versteinerung
n00201397	Übergang
n00201516	einmischen, manipulieren
n00201671	Übertragung, Übertragung
n00201923	Verbot, Hemmung, Verbot
n00202284	Widerstand, Widerstand
n00202620	Aussperrung
n00202816	Reaktion
n00203020	Rückschlag
n00203208	Whitelash, weiße Backlash
n00203342	Ablehnung
n00203649	abwimmeln
n00203753	ausweichen, abwenden, meiden, ausweichen
n00204022	Abneigung, Abwendung
n00204199	fliehen
n00204334	nahe Sache
n00204439	Verlassenheit, Verlassenheit, Verlassenheit
n00204659	Exposition
n00204814	Apostasie, tergiversation
n00204943	Bolzen
n00205079	Verzicht, Verzicht, Verzicht
n00205349	Nichtannahme, Ablehnen
n00205543	aufgeben, aufgeben
n00205649	Selbstverleugnung, Selbstverleugnung, Selbstverleugnung, Selbstverleugnung
n00205891	verfallen, verfallen, opfern
n00206130	Boykott
n00206302	Verbannung, Verbot
n00206600	Anathematisierung, Anathematisierung
n00206779	Entlassung
n00206927	Ausweisung, Ausschluss, Vertreibung, Befreiung
n00207306	Abschiebung
n00207434	Ächtung
n00207622	Sperren, Blackball
n00207761	Exil, Abschiebung, Ausbürgerung, Transport
n00208141	Babylonische Gefangenschaft
n00208277	Exkommunikation, Exzision
n00208521	Abstieg
n00208694	Rustikation
n00208797	verdrängen, verdrängen
n00208943	Absetzung, Entthronung
n00209132	Aussetzung, vorübergehende Entfernung
n00209301	Rustikation
n00209446	Verschiebung
n00209546	Einspruch
n00209680	Taschenveto
n00209789	einschreiben
n00209943	Beendigung, Ende, Abschluss
n00210518	fertig, fertig
n00210797	finale, schließen, vorhang schließen, finis
n00210940	Release, Tonende
n00211110	Abschluss, Höhepunkt, Abschluss, Aufziehen, Aufwischen
n00211462	Abschluss, Abschluss
n00211593	durchziehen
n00211776	durchziehen
n00212065	Abschluss
n00212205	Ruhestand
n00212377	Winterschlaf
n00212551	Rustikation
n00212678	Schwanengesang, letztes Hurra
n00212808	Verzicht, Verzicht
n00213052	Abtretung, Abtretung
n00213186	aushändigen
n00213343	aufgeben
n00213482	Auslieferung
n00213694	Freistellung, Verzicht, Entlassung
n00213903	Befreiung, Immunität, Gewährung von Immunität
n00214148	Fix
n00214315	offizielle Immunität
n00214526	souveräne Immunität
n00214794	Transaktionsimmunität
n00215013	Immunität verwenden, Testimonial-Immunität
n00215314	Auflösung, Trennung
n00215534	Splitsville
n00215683	Sturz
n00215838	Subversion, subversive Aktivität
n00216038	Vertagung, Auflösung
n00216174	Entlassung, Entlassung, Entlassung, Entlassung, Befreiung, Entlassung, Entlassung, Entlassung
n00216607	conge, congee
n00216723	Entfernung
n00216834	säubern
n00217014	Zerstörung, Verwüstung
n00217499	Katastrophe
n00217593	töten
n00217773	verwüsten, ruinieren, ruinieren, ruinieren, zerstören
n00218045	abschleifen, nivellieren, abreißen, abreißen
n00218208	Vernichtung, Auslöschung
n00218427	Dezimierung
n00218602	Zerstäubung, Zerstäubung
n00218753	pulverisieren, pulverisieren
n00218902	Verdampfung, Verdampfung
n00219012	töten, töten, töten
n00219463	Todesstoß, Gnadenstoß
n00219575	Tod
n00219738	Drive-by-Tötung
n00219856	Sterbehilfe, Gnadentod
n00220023	Tötung
n00220219	Ehrenmord
n00220409	Totschlag
n00220522	Mord, Ermordung, Hinrichtung
n00221056	Ermordung
n00221178	Blutvergießen, Blut
n00221343	Chance-Medley
n00221480	Auftragsmord
n00221596	Vatermord
n00221727	Marienmord
n00221819	Muttermord
n00221900	Vatermord
n00221981	Brudermord
n00222064	uxorizid
n00222155	filizid
n00222248	Versand, Versand
n00222376	fiel
n00222485	Selbstmord, Selbstzerstörung, Selbstvernichtung
n00222766	Selbstzerstörung
n00222939	Sterbehilfe
n00223144	ärztlich assistierter Suizid
n00223268	felo-de-se
n00223362	Harakiri, Harakiri, Harikari, Seppuku
n00223575	suttee
n00223720	Beseitigung, Liquidation
n00223854	schlachten
n00223983	Abschlachten, Massaker, Massenmord, Gemetzel, Metzgerei
n00224260	blutbad, blutvergießen, blutvergießen, jagd
n00224599	Lynchen
n00224738	Vergiftung
n00224936	Vergasung
n00225070	Königsmord
n00225150	Schießen
n00225361	Drive-by-Shooting
n00225484	Flügelschießen
n00225593	Erstickung, Erstickung
n00225786	Würgen, Würgen, Würgen, Drosseln
n00226107	Krampf
n00226319	quetschen
n00226511	Bronchospasmus
n00226711	Kardiospasmus
n00226951	heben, würgen
n00227137	Kehlkopf
n00227264	Strangulation
n00227484	Carjacking
n00227595	Opfer, rituelles Töten
n00227848	Hekatombe
n00227969	Verbrennung
n00228078	Stromschlag
n00228181	Enthauptung, Enthauptung
n00228283	Abschaffung, Abschaffung
n00228535	Liquidation, Abwicklung
n00228762	Viatical-Siedlung, Viaticus-Siedlung
n00228911	Entzug, Drogenentzug
n00229034	kalter Truthahn
n00229260	Schließung, Schließung, Schließung, Schließung
n00229587	Werksschließung
n00229688	Bankschließung
n00229814	entlassen
n00229934	erlöschen, löschen, löschen
n00230172	verblassen, verschwinden
n00230324	Abbruch
n00230475	Spontanabort, Fehlgeburt, Totgeburt
n00230703	gewohnheitsmäßige Abtreibung
n00230824	bevorstehende Abtreibung, drohende Abtreibung
n00230997	unvollständige Abtreibung, Teilabtreibung
n00231161	induzierte Abtreibung
n00231315	Abortizid, Fetizid
n00231412	therapeutischer Schwangerschaftsabbruch
n00231567	Aufhebung, Überschreibung
n00231887	Aufhebung, Aufhebung, Annullierung
n00232147	Ausnahme
n00232386	Stornierung
n00232604	abschreiben
n00232765	Erlanger, ziviler Tod
n00232863	Rücktritt, Rücktritt
n00233212	Schaden
n00233386	Neutralisation, Neutralisation, Gegenwirkung
n00233614	deaktivieren, entschärfen
n00233795	Deaktivierung, Inaktivierung
n00233980	Ehrenvolle Entlassung
n00234105	unehrenhafte Entlassung
n00234277	Abschnitt Acht
n00234423	Neutralisation, Neutralisation
n00234675	Neutralisation, Neutralisation
n00234892	Umkehrung
n00235074	Verderben
n00235208	Regression, Regress, Reversion, Retrogression, Retroversion
n00235435	Anfang, Anfang, Anfang
n00236194	Sprungbrett, Absprungpunkt, Ausgangspunkt
n00236581	Beitritt, Machtübernahme
n00236821	Aktivierung
n00236953	Attack, Ton-Anfang
n00237078	Verfassung, Gründung, Gründung, Organisation, Organisation
n00237705	Neugründung
n00237869	Schaffung
n00238022	Einführung, Debüt, erster Auftritt, Einführung, Enthüllung, Eintritt
n00238326	Arbeitseinleitung
n00238527	Induktion
n00238778	Hypnogenese
n00238871	Produkteinführung
n00239024	Konfrontation
n00239230	erster Schritt, Initiative, Eröffnungszug, Eröffnung
n00239483	Spatenstich, Spatenstich
n00239666	Wohnungsstart
n00239766	Eisbrecher
n00239910	Einweihung, Inbetriebnahme
n00240184	Initiierung, Gründung, Stiftung, Institution, Entstehung, Kreation, Innovation, Einführung, Einrichtung
n00240754	Urheberschaft, Vaterschaft
n00240938	Installation, Installation, Ratenzahlung, Ratenzahlung
n00241245	Sprungball
n00241507	Anstoß
n00241699	starten, starten
n00242003	Wiederaufnahme, Wiederaufnahme
n00242146	Gedränge, Gedränge
n00242431	Anlaufen
n00242583	gewerkschaft, gewerkschaft
n00242808	Erregung, mitreißend
n00243102	Wecken
n00243237	einleiten
n00243373	Einweihung, Einweihung
n00243577	Gardinenheber
n00243662	erste Basis
n00243813	Friedensinitiative
n00243918	kochen, kochen, zubereiten
n00246341	Backen
n00246460	Kräuseln
n00246552	rösten, bräunen
n00246754	grillen, grillen, grillen
n00246940	braten, sautieren
n00247081	Fusionsküche
n00247229	schmoren
n00247342	Wilderei
n00247442	Braten
n00247654	grillen
n00247792	kochen, dünsten, köcheln
n00247955	Heften
n00248063	Ausschreibung, Ausschreibung
n00248252	Versickerung
n00248368	Würze
n00248534	salzen
n00248636	süßen
n00248748	Infusion
n00248977	Verbesserung
n00249501	Fortschritt, Fortschritt
n00249780	Weiterleitung, Förderung, Förderung
n00249987	schreiten
n00250143	Arbeitsablauf, Arbeitsablauf
n00250259	Entwicklung
n00250597	Erweiterung
n00250710	Ausarbeitung, Ausarbeitung
n00250882	Produktentwicklung
n00251013	reinigen, reinigen, aufräumen
n00251520	Entwesung
n00251636	Frühjahrsputz
n00251780	schrubben, schrubben, scheuern
n00252020	wischen, wischen
n00252169	chemische Reinigung
n00252307	fegen
n00252430	säubern, säubern
n00252662	säubern, säubern, säubern
n00252894	Reinigung
n00253070	Reinigung, Reinigung
n00253270	Reinigung
n00253395	Katharsis, Katharsis, Abreaktion
n00253577	Katharsis, Katharsis, Reinigung
n00253773	hoher Dickdarm
n00253919	Sterilisation, Sterilisation
n00254166	Pasteurisierung, Pasteurisierung
n00254415	Hygiene, Desinfektion, Desinfektion
n00254597	Enthaarung, Epilation
n00254769	rasieren, rasieren
n00254922	Tonsur
n00255065	Elektrolyse
n00255214	abwaschen, baden
n00255450	Waschung
n00255600	Geschirrspülen, Spülen
n00255710	waschen, waschen, waschen
n00256122	den Abwasch machen
n00256217	Fensterputzen
n00256309	spülen
n00256407	spülen
n00256501	einweichen, einweichen
n00256620	bürsten, bürsten
n00256746	kämmen, kämmen
n00256961	auskämmen, necken
n00257115	Shampoo
n00257228	haarpflege, haarpflege, friseur
n00257468	Haarweberei
n00257580	Dusche, Duschbad
n00257770	Bad
n00257969	Schaumbad
n00258093	Mikwe
n00258301	Schlammbad
n00258403	Schwammbad
n00258530	Türkisches Bad, Dampfbad, Dampfbad, Dampfbad
n00258695	abreiben
n00258854	Berichtigung, Berichtigung
n00259177	Wiedergutmachung, Abhilfe, Abhilfe
n00259392	Salbe
n00259544	Vergeltung
n00259643	entschädigen, entschädigen
n00259894	Entschädigung
n00260051	Optimierung, Optimierung
n00260494	Perfektion
n00260622	Reform
n00260881	Bodenreform
n00261029	Besserung, Besserung, Besserung
n00261258	Selbstverbesserung, Selbstreformation
n00261405	Reform
n00261604	Verschönerung
n00261797	Schönheitsbehandlung
n00261972	Verherrlichung, Verherrlichung, Verherrlichung, Verherrlichung
n00262249	Dekoration
n00262596	Schmuck
n00262743	Verzierung, Verzierung
n00262908	Schaufensterdekoration
n00263000	trimmen
n00263164	tessellieren
n00263272	Figuration
n00263353	Tätowierung
n00263492	tittivation, tittivation
n00263642	Markierung
n00263813	Lineation
n00263947	Sprenkeln
n00264088	Streifen
n00264192	Klärung, Klärung
n00264366	Anreicherung
n00264529	Befestigung
n00264775	Humanisierung, Humanisierung
n00264913	Modernisierung, Modernisierung
n00265119	Renovierung, Sanierung, Überholung
n00265472	Facelifting, Facelifting, Facelifting
n00265773	moralisieren, moralisieren
n00265992	Verfeinerung, Süßung
n00266149	Aufschwung
n00266253	Verschlechterung
n00266401	Abschwung, Abschwung
n00266560	Downspin
n00266645	lüften, lüften
n00266806	reparieren, reparieren, reparieren, reparieren, reparieren, reparieren
n00267217	Stopfen
n00267349	Patchen
n00267522	Pflege, Wartung, Instandhaltung
n00267821	Kamerapflege
n00267917	Autopflege
n00268025	Ölwechsel
n00268112	Überholung, Inspektion und Reparatur, Service
n00268341	Zwischenüberholung
n00268457	Pflaster, schnelle Lösung, Quickie, Quicky
n00268557	Wiederherstellung
n00268824	Gentrifizierung
n00269018	Rekultivierung, Erneuerung, Sanierung
n00269258	Wiederaufbau
n00269471	Anastylose
n00269674	Verjüngungskur
n00269856	Zusammenbau, Umbau
n00269963	Neubildung, Regeneration
n00270186	Wiederaufbau
n00270275	Restitution
n00270403	Pumpenansaugung
n00270539	geplante Wartung
n00270648	Dampfarmatur
n00270800	Coaching, Trainerjob
n00270919	Verlobung, Buchung
n00271155	Soloauftritt
n00271263	Abbau, Entwürdigung
n00271636	Entmenschlichung, Entmenschlichung
n00271879	Brutalisierung, Brutalisierung, Animalisierung, Animalisierung
n00272123	Barbarisierung, Barbarisierung
n00272303	Bastardisierung, Bastardisierung
n00272448	Korruption, Subversion
n00272713	Demoralisierung, Demoralisierung
n00272878	Verdummung, Verstopfung, Beeinträchtigung, Abstumpfung
n00273077	Popularisierung, Popularisierung, Vulgarisierung, Vulgarisierung
n00273319	Profanation
n00273449	Demütigung, Erniedrigung
n00273601	herunter kommen
n00273690	Farbwechsel
n00273877	Aufhellung, Aufhellung
n00274009	bleichen
n00274206	Verärgerung
n00274437	Schwärzen, Verdunkelung
n00274586	Verschleierung
n00274707	Verfärbung, Verfärbung
n00274941	färben, färben
n00275151	Tönung
n00275307	Haare färben
n00275424	Färberei
n00275572	färben
n00275751	Gram-Methode, Gram-Methode, Gram-Methode, Gram-Färbung, Gram-Färbung
n00276189	Umweltschutz
n00276342	fixieren, fixieren
n00276620	Verschmutzung, Schmutz, Verschmutzung
n00276813	Flecken, Flecken, Makulation
n00276987	Verschmutzung, Verschmutzung
n00277267	Staubbelastung
n00277376	Benetzung
n00277569	untertauchen, eintauchen, ducken, übergießen
n00277811	durchnässen, einweichen, souse, sousing
n00278040	befeuchtend, dämpfend
n00278221	spritzen, spritzen
n00278403	Bewässerung
n00278555	besprühen, besprühen, sprühen
n00278810	kauen, kauen, kauen, manduktion
n00279136	kauen
n00279235	murmeln, gummiern
n00279377	Wiederkäuen
n00279534	Bruxismus
n00279674	Entlaubung
n00279835	Bewegung, Bewegung, Bewegung
n00280586	Bewegung
n00280853	nähern, nähern, kommen
n00281132	betreten
n00281291	Hintertür, Hintertür
n00281462	schließen, schließen
n00281752	Landeanflug
n00281898	Overshoot, Wave-Off, Go-Around
n00282050	Fortschritt, Fortschritt, Prozession, Fortschritt, Fortschritt, Vorwärtsbewegung, Vorwärtsbewegung
n00282485	drücken
n00282613	Karriere, Lebensgeschichte
n00282840	März
n00282953	Klares Segeln, Klares Segeln, easy going
n00283127	Fortbewegung, Reisen
n00283450	Verzweigung
n00283568	gehen, gehen
n00283951	Umherwandeln
n00284101	schlendern, promenade, bummeln, schlendern, wandern
n00284409	wandern, schlängeln
n00284544	verfassungsmäßig
n00284665	Fuß
n00284798	Spaziergang
n00285141	Schlafwandeln, Somnambulismus, Somnambulation, Nyktambulismus, Noctambulation
n00285387	schlafen reden, Somniloquie, Somniloquism
n00285557	Schritt
n00285889	Tempo, Schritt, Schritt
n00286112	pass
n00286240	Reise
n00286360	ausweichen
n00286497	Gangart
n00286756	humpeln, humpeln, hinken
n00286957	Gangart
n00287142	Spaziergang
n00287276	Gestell, Einzelfuß
n00287449	joggen
n00287561	Trab
n00287762	steigender Trab
n00287889	sitzender Trab
n00288000	Dressur
n00288190	geschwungen, gewölbt
n00288384	Piaffe
n00288486	Galopp, Lope
n00288671	Galopp
n00288880	Schritt
n00288970	wandern, wandern, trampen
n00289175	stapfen
n00289267	Volant
n00289388	taumeln, stolpern, taumeln
n00289555	auf und ab
n00289659	rollen
n00289737	schlendern
n00289906	überspringen
n00290015	pirschen, wütender Gang
n00290125	stolzieren, tänzeln, stolzieren
n00290276	schlingern, stürzen
n00290406	watscheln
n00290579	marschieren, marschieren
n00291004	Rückmarsch
n00291154	Stechschritt
n00291286	letzte Meile
n00291400	Lockstep
n00291663	Promenade
n00291796	schneller Marsch
n00291876	Routenmarsch
n00291965	trödeln, trödeln
n00292125	schleichen
n00292269	Mondspaziergang
n00292386	Wanderung
n00292599	Dreh dich
n00292712	schlurfen, schlurfen, schlurfen, schlurfen
n00292981	Weltraumspaziergang
n00293125	Mondspaziergang
n00293307	waten
n00293417	Rundgang
n00293545	Rundgang
n00293657	Rundgang
n00293753	begehbar
n00293916	laufen, laufen
n00294190	Joggen, Trab, Lope
n00294366	Dogtrott
n00294452	sprinten, sprinten
n00294577	schnelle Pause
n00294748	brechen
n00294868	kriechen, kriechen, kriechen, kriechen
n00295172	Runde, Kreis, Runde
n00295422	Pace-Runde
n00295563	Siegesrunde, Ehrenrunde
n00295701	reisen, reisen, reisen
n00296263	Umrundung
n00296478	Wanderschaft
n00296585	Prozession
n00296946	durchqueren, durchqueren
n00297062	umherirren, umherstreifen, vagabundieren
n00297318	Wegweiser
n00297404	treibend
n00297532	Kreuzung
n00297657	Furt, Furt
n00297863	flache Waten
n00297951	tiefe Waten
n00298047	durchqueren, durchqueren
n00298161	Tourismus, Tourismus
n00298351	Ökotourismus
n00298497	Fahren
n00299112	Autofahren
n00299217	reiten, reiten
n00299680	abseilen
n00299826	Bronco-Busting
n00299933	Ausdauerreiten
n00300037	Rudelreiten
n00300113	Wanderreiten
n00300206	Wadenabseilen
n00300333	Steer Roping
n00300441	flugreisen, luftfahrt, luft
n00301192	Flug
n00301443	Anschlussflug
n00301598	Direktflug
n00301728	Inlandsflug
n00301857	internationaler Flug
n00302001	Nonstop-Flug, nonstop
n00302185	Rote Augen, Rote Augen Flug
n00302394	Flug, fliegen
n0030286
